tenant_n,wd_event_date,submissions
relx,2026-04-16,3
renishaw,2026-04-16,1
renre,2026-03-18,1
renre,2026-04-16,1
repsol,2026-04-16,4
resmed,2026-03-18,1
rgare,2026-03-18,5
rgare,2026-04-16,3
richemont,2026-04-16,4
rivhs,2026-03-18,3
roche,2026-03-18,1
rockwellautomation,2026-04-16,1
rockwoolgroup,2026-03-18,1
rollsroyce,2026-03-18,2
rollsroycesmr,2026-04-16,2
rothschildandco,2026-03-18,3
rrhs,2026-03-18,1
ryancompanies,2026-04-16,1
ryansg,2026-04-16,1
sagility,2026-03-18,6
sagility,2026-04-16,10
saica,2026-04-16,1
sanofi,2026-03-18,15
sanofi,2026-04-16,8
santander,2026-03-18,1
santander,2026-04-16,2
sarepta,2026-04-16,2
sartorius,2026-03-18,2
saxobank,2026-03-18,1
schreiberfoods,2026-04-16,7
seatrium,2026-04-16,1
sec,2026-03-18,1
sec,2026-04-16,1
sedgwick,2026-04-16,8
sentara,2026-04-16,1
shimano,2026-03-18,3
sierraspace,2026-04-16,1
simedarby,2026-03-18,1
skechers,2026-03-18,1
sky,2026-04-16,1
sleepnumber,2026-04-16,1
slihrms,2026-03-18,33
slihrms,2026-04-16,23
slrconsulting,2026-03-18,5
smithfieldfoods,2026-03-18,1
smithnephew,2026-03-18,1
southernwater,2026-03-18,4
sparke,2026-04-16,1
spectris,2026-03-18,1
spectrumcontrol,2026-03-18,1
spgi,2026-04-16,3
spw,2026-03-18,2
ssctech,2026-04-16,6
ssmh,2026-03-18,3
ssmh,2026-04-16,2
stagecoach,2026-03-18,3
stevenstransport,2026-03-18,1
stryker,2026-03-18,10
stryker,2026-04-16,3
sunlife,2026-03-18,4
sunlife,2026-04-16,4
sunrise,2026-03-18,5
swisslife,2026-03-18,2
swisslife,2026-04-16,2
symbotic,2026-03-18,2
synchronyfinancial,2026-03-18,4
synchronyfinancial,2026-04-16,11
synnex,2026-03-18,2
synnex,2026-04-16,16
talkingrain,2026-03-18,1
taskus,2026-03-18,1
taskus,2026-04-16,8
td,2026-03-18,2
telpark,2026-04-16,1
tera,2026-04-16,1
terex,2026-04-16,1
thales,2026-03-18,1
theclearinghouse,2026-03-18,1
thegymgroup,2026-03-18,8
thegymgroup,2026-04-16,5
theocc,2026-03-18,3
theocc,2026-04-16,4
thermofisher,2026-03-18,2
thermofisher,2026-04-16,7
thomsonreuters,2026-03-18,1
thomsonreuters,2026-04-16,2
tiaa,2026-03-18,3
tjx,2026-03-18,5
tjx,2026-04-16,1
tmhcc,2026-03-18,1
tmhcc,2026-04-16,2
tokiomarinekiln,2026-04-16,1
toyotaau,2026-04-16,2
tp,2026-03-18,1
tp,2026-04-16,11
tranetechnologies,2026-04-16,5
transamerica,2026-03-18,1
transmedics,2026-04-16,5
transunion,2026-03-18,1
transunion,2026-04-16,1
travelers,2026-03-18,1
travelers,2026-04-16,1
trendmicro,2026-04-16,4
tricentis,2026-03-18,1
trimedx,2026-04-16,3
tritonpartners,2026-03-18,1
trumpf,2026-03-18,2
trumpf,2026-04-16,1
ts,2026-04-16,2
tsys,2026-03-18,4
tsys,2026-04-16,5
tvh,2026-03-18,2
tvh,2026-04-16,1
ukgrantt,2026-03-18,4
ultra,2026-03-18,5
ultra,2026-04-16,2
ummh,2026-03-18,5
ummh,2026-04-16,1
unum,2026-04-16,3
uobgroup,2026-04-16,1
upp,2026-03-18,1
usyd,2026-03-18,2
usyd,2026-04-16,5
valmont,2026-03-18,1
vanderlande,2026-03-18,1
vanguard,2026-03-18,3
vanguard,2026-04-16,2
vca,2026-03-18,13
vca,2026-04-16,13
ventas,2026-04-16,1
veoliauki,2026-04-16,1
vhr_otsuka,2026-04-16,2
vhr_unither,2026-04-16,1
viatris,2026-03-18,2
virbac,2026-03-18,1
virbac,2026-04-16,7
vishay,2026-04-16,1
vst,2026-03-18,1
walmart,2026-03-18,1
walmart,2026-04-16,1
wattswater,2026-03-18,1
websteronline,2026-03-18,1
wellcome,2026-03-18,2
wellstar,2026-03-18,3
westernalliancebank,2026-03-18,1
westlake,2026-03-18,1
westlake,2026-04-16,3
westpacnz,2026-03-18,1
wexinc,2026-03-18,3
wexinc,2026-04-16,1
wf,2026-03-18,15
wf,2026-04-16,14
wfp,2026-03-18,1
wfscorp,2026-04-16,2
whitecase,2026-03-18,12
whitecase,2026-04-16,8
wintrust,2026-04-16,1
wk,2026-03-18,4
wk,2026-04-16,2
wvumedicine,2026-03-18,12
wvumedicine,2026-04-16,7
xylem,2026-03-18,1
zebra,2026-04-16,11
zeissgroup,2026-03-18,2
zoll,2026-03-18,3
zoll,2026-04-16,8
